transaction_id,user_id,age,age_group,gender,daily_screen_time_hours,screen_time_band,social_media_hours,gaming_hours,work_study_hours,sleep_hours,low_sleep_flag,notifications_per_day,app_opens_per_day,weekend_screen_time,weekend_to_daily_screen_time_ratio,stress_level,academic_work_impact,addiction_level_display,addicted_label,addiction_status,usage_component_total_hours,component_sum_exceeds_daily_screen_time,day_load_hours,day_load_exceeds_24_hours
TXN00018,U00018,35,28-35,Female,10.52,10h+,5.83,3.71,5.17,5.25,True,144,138,11.55,1.0979,Medium,Yes,Moderate,1,1 - Addicted label,14.709999999999999,True,20.939999999999998,False
TXN00019,U00019,18,18-22,Female,11.87,10h+,1.96,3.14,3.0,6.4,True,207,157,14.02,1.1811,Medium,Yes,Moderate,1,1 - Addicted label,8.1,False,21.27,False
TXN00020,U00020,24,23-27,Other,11.72,10h+,3.69,2.17,4.61,4.76,True,169,137,13.48,1.1502,High,Yes,Moderate,1,1 - Addicted label,10.469999999999999,False,21.09,False
TXN00021,U00021,20,18-22,Female,10.66,10h+,0.88,0.27,5.24,6.32,True,247,160,11.78,1.1051,High,Yes,Moderate,1,1 - Addicted label,6.390000000000001,False,22.22,False
TXN00022,U00022,34,28-35,Female,5.85,Up to 6h,1.93,2.68,2.23,5.7,True,53,180,7.1,1.2137,Medium,Yes,None,0,0 - Not addicted label,6.84,True,13.780000000000001,False
TXN00023,U00023,21,18-22,Other,3.66,Up to 6h,1.67,1.06,5.63,8.46,False,245,77,5.08,1.388,Low,No,Mild,0,0 - Not addicted label,8.36,True,17.75,False
TXN00024,U00024,34,28-35,Female,3.07,Up to 6h,4.99,1.2,4.15,8.73,False,54,82,3.86,1.2573,Low,Yes,Severe,1,1 - Addicted label,10.34,True,15.950000000000001,False
TXN00025,U00025,24,23-27,Male,9.46,8-10h,1.62,2.54,1.95,6.7,True,236,28,10.19,1.0772,Medium,No,Moderate,1,1 - Addicted label,6.11,False,18.11,False
TXN00026,U00026,28,28-35,Female,9.94,8-10h,4.0,1.05,4.58,6.98,True,129,158,10.46,1.0523,Low,Yes,Moderate,1,1 - Addicted label,9.629999999999999,False,21.5,False
TXN00027,U00027,35,28-35,Female,4.33,Up to 6h,1.2,1.23,5.44,8.08,False,240,25,7.08,1.6351,Low,Yes,None,0,0 - Not addicted label,7.87,True,17.85,False
TXN00028,U00028,35,28-35,Male,10.96,10h+,2.74,2.48,1.35,8.68,False,241,56,13.9,1.2682,Low,No,Moderate,1,1 - Addicted label,6.57,False,20.990000000000002,False
TXN00029,U00029,28,28-35,Male,10.04,10h+,2.76,2.68,4.54,5.62,True,60,42,11.5,1.1454,Low,No,Moderate,1,1 - Addicted label,9.98,False,20.2,False
TXN00030,U00030,32,28-35,Other,6.15,6-8h,5.01,3.49,1.73,7.47,False,122,99,7.35,1.1951,Low,No,Severe,1,1 - Addicted label,10.23,True,15.350000000000001,False
TXN00031,U00031,34,28-35,Other,6.6,6-8h,5.9,2.14,5.67,5.02,True,86,60,8.55,1.2955,Medium,Yes,Moderate,1,1 - Addicted label,13.71,True,17.29,False
TXN00032,U00032,31,28-35,Other,6.11,6-8h,4.83,1.75,5.91,5.02,True,250,162,7.09,1.1604,Low,No,Moderate,1,1 - Addicted label,12.49,True,17.04,False
TXN00033,U00033,35,28-35,Other,9.18,8-10h,5.67,2.95,1.58,6.44,True,190,99,11.24,1.2244,High,Yes,Severe,1,1 - Addicted label,10.200000000000001,True,17.200000000000003,False
TXN00034,U00034,27,23-27,Other,9.0,8-10h,2.29,2.79,3.55,5.36,True,190,112,11.19,1.2433,Low,No,Severe,1,1 - Addicted label,8.629999999999999,False,17.91,False
TXN00035,U00035,18,18-22,Other,5.73,Up to 6h,1.66,3.14,3.84,5.95,True,133,128,7.92,1.3822,High,No,None,0,0 - Not addicted label,8.64,True,15.52,False
TXN00036,U00036,20,18-22,Male,5.55,Up to 6h,4.15,2.48,1.01,8.78,False,80,94,6.61,1.191,Low,Yes,Moderate,1,1 - Addicted label,7.640000000000001,True,15.339999999999998,False
TXN00037,U00037,25,23-27,Male,11.86,10h+,3.86,3.07,3.0,8.49,False,167,64,14.16,1.1939,Medium,No,Severe,1,1 - Addicted label,9.93,False,23.35,False
TXN00038,U00038,22,18-22,Other,8.9,8-10h,0.53,3.0,4.74,4.98,True,128,71,9.84,1.1056,High,No,Moderate,1,1 - Addicted label,8.27,False,18.62,False
TXN00039,U00039,25,23-27,Male,11.26,10h+,1.17,0.53,3.06,6.89,True,163,167,12.55,1.1146,Medium,No,Severe,1,1 - Addicted label,4.76,False,21.209999999999997,False
TXN00040,U00040,33,28-35,Male,7.05,6-8h,4.63,3.36,2.03,8.0,False,144,175,8.15,1.156,Medium,Yes,Severe,1,1 - Addicted label,10.02,True,17.080000000000002,False
TXN00041,U00041,26,23-27,Female,6.02,6-8h,5.41,0.32,1.33,6.22,True,59,69,6.68,1.1096,Medium,No,Severe,1,1 - Addicted label,7.0600000000000005,True,13.569999999999999,False
TXN00042,U00042,19,18-22,Female,4.86,Up to 6h,2.81,3.62,3.71,7.63,False,239,162,6.31,1.2984,Low,No,Mild,0,0 - Not addicted label,10.14,True,16.2,False
TXN00043,U00043,31,28-35,Other,7.84,6-8h,4.54,3.2,5.44,6.7,True,89,126,9.55,1.2181,Medium,No,Severe,1,1 - Addicted label,13.18,True,19.98,False
TXN00044,U00044,23,23-27,Female,10.56,10h+,5.56,3.92,3.44,8.58,False,171,159,12.72,1.2045,Low,No,Moderate,1,1 - Addicted label,12.92,True,22.580000000000002,False
TXN00045,U00045,23,23-27,Female,3.45,Up to 6h,2.59,0.85,2.3,7.93,False,117,86,5.83,1.6899,Medium,No,None,0,0 - Not addicted label,5.74,True,13.68,False
TXN00046,U00046,18,18-22,Other,9.74,8-10h,0.79,3.81,1.73,4.81,True,186,25,12.13,1.2454,Low,Yes,Moderate,1,1 - Addicted label,6.33,False,16.28,False
TXN00047,U00047,22,18-22,Female,5.15,Up to 6h,3.1,0.46,5.71,6.59,True,85,109,6.07,1.1786,High,Yes,None,0,0 - Not addicted label,9.27,True,17.45,False
TXN00048,U00048,21,18-22,Other,8.21,8-10h,5.61,2.3,5.49,6.19,True,203,65,8.9,1.084,High,Yes,Moderate,1,1 - Addicted label,13.4,True,19.89,False
TXN00049,U00049,27,23-27,Male,10.65,10h+,3.8,0.48,5.91,8.02,False,108,151,12.22,1.1474,Medium,Yes,Severe,1,1 - Addicted label,10.19,False,24.580000000000002,True
TXN00050,U00050,31,28-35,Female,10.4,10h+,1.08,3.84,4.0,8.23,False,201,54,11.99,1.1529,High,No,Severe,1,1 - Addicted label,8.92,False,22.630000000000003,False
TXN00051,U00051,31,28-35,Male,10.43,10h+,3.76,1.29,1.85,8.71,False,91,130,11.54,1.1064,Medium,No,Severe,1,1 - Addicted label,6.9,False,20.990000000000002,False
TXN00052,U00052,33,28-35,Male,10.66,10h+,1.5,0.85,4.89,6.03,True,245,167,12.91,1.2111,Medium,Yes,Moderate,1,1 - Addicted label,7.24,False,21.580000000000002,False
TXN00053,U00053,25,23-27,Female,9.48,8-10h,3.19,3.03,4.3,7.41,False,145,129,11.96,1.2616,Low,No,Moderate,1,1 - Addicted label,10.52,True,21.19,False
TXN00054,U00054,25,23-27,Female,5.76,Up to 6h,3.7,1.89,3.42,6.41,True,210,155,7.09,1.2309,High,No,Mild,0,0 - Not addicted label,9.01,True,15.59,False
TXN00055,U00055,26,23-27,Other,5.07,Up to 6h,4.47,1.26,4.59,8.78,False,196,62,6.05,1.1933,High,No,Severe,1,1 - Addicted label,10.32,True,18.439999999999998,False
TXN00056,U00056,34,28-35,Male,8.37,8-10h,5.89,3.33,2.13,6.12,True,97,18,10.64,1.2712,Low,No,Moderate,1,1 - Addicted label,11.349999999999998,True,16.619999999999997,False
TXN00057,U00057,35,28-35,Male,5.63,Up to 6h,5.69,2.55,4.64,4.96,True,23,161,6.84,1.2149,Medium,No,Severe,1,1 - Addicted label,12.879999999999999,True,15.23,False
TXN00058,U00058,19,18-22,Male,5.27,Up to 6h,5.24,0.46,0.86,6.71,True,167,176,7.49,1.4213,Low,Yes,Severe,1,1 - Addicted label,6.5600000000000005,True,12.84,False
TXN00059,U00059,25,23-27,Female,4.07,Up to 6h,4.7,2.43,4.85,5.52,True,153,112,5.7,1.4005,Medium,No,Severe,1,1 - Addicted label,11.98,True,14.44,False
TXN00060,U00060,19,18-22,Male,8.49,8-10h,4.57,3.79,1.64,5.45,True,189,35,9.38,1.1048,Low,Yes,Moderate,1,1 - Addicted label,10.0,True,15.580000000000002,False
TXN00061,U00061,31,28-35,Female,7.05,6-8h,3.77,1.17,1.77,7.68,False,199,131,7.73,1.0965,Low,No,Mild,0,0 - Not addicted label,6.709999999999999,False,16.5,False
TXN00062,U00062,21,18-22,Male,7.9,6-8h,4.06,3.63,5.05,4.82,True,62,93,9.89,1.2519,High,No,Severe,1,1 - Addicted label,12.739999999999998,True,17.77,False
TXN00063,U00063,32,28-35,Male,9.2,8-10h,4.35,3.77,3.25,6.72,True,40,168,9.8,1.0652,Medium,No,Severe,1,1 - Addicted label,11.37,True,19.169999999999998,False
TXN00064,U00064,20,18-22,Female,5.06,Up to 6h,4.21,3.44,3.73,4.59,True,215,83,7.0,1.3834,Low,No,Severe,1,1 - Addicted label,11.38,True,13.379999999999999,False
TXN00065,U00065,23,23-27,Female,11.97,10h+,2.9,3.26,5.83,6.62,True,124,100,13.27,1.1086,Low,Yes,Severe,1,1 - Addicted label,11.99,True,24.42,True
TXN00066,U00066,33,28-35,Female,5.59,Up to 6h,5.7,3.25,3.53,6.55,True,100,79,6.9,1.2343,Medium,Yes,Severe,1,1 - Addicted label,12.479999999999999,True,15.67,False
TXN00067,U00067,19,18-22,Male,4.69,Up to 6h,2.49,3.03,3.94,7.92,False,72,83,6.56,1.3987,Medium,No,Mild,0,0 - Not addicted label,9.459999999999999,True,16.55,False
TXN00068,U00068,18,18-22,Other,11.76,10h+,3.85,0.96,1.37,6.98,True,161,119,12.49,1.0621,Low,No,Moderate,1,1 - Addicted label,6.180000000000001,False,20.110000000000003,False
TXN00069,U00069,22,18-22,Other,7.49,6-8h,4.44,2.04,2.0,8.26,False,140,77,9.13,1.219,Low,No,Moderate,1,1 - Addicted label,8.48,True,17.75,False
TXN00070,U00070,34,28-35,Other,9.72,8-10h,1.25,0.28,4.75,8.34,False,107,144,10.89,1.1204,Low,No,Severe,1,1 - Addicted label,6.28,False,22.810000000000002,False
TXN00071,U00071,33,28-35,Male,10.79,10h+,2.96,1.94,2.33,7.93,False,116,131,13.62,1.2623,Low,Yes,Severe,1,1 - Addicted label,7.23,False,21.049999999999997,False
TXN00072,U00072,31,28-35,Male,3.39,Up to 6h,4.6,2.82,4.96,6.24,True,189,53,5.13,1.5133,Low,Yes,Severe,1,1 - Addicted label,12.379999999999999,True,14.59,False
TXN00073,U00073,32,28-35,Other,3.9,Up to 6h,5.51,0.06,1.29,8.42,False,59,34,5.57,1.4282,Medium,No,Severe,1,1 - Addicted label,6.859999999999999,True,13.61,False
TXN00074,U00074,20,18-22,Other,10.67,10h+,5.19,3.44,2.59,5.92,True,203,139,13.35,1.2512,Low,Yes,Moderate,1,1 - Addicted label,11.22,True,19.18,False
TXN00075,U00075,27,23-27,Male,11.98,10h+,4.61,1.74,1.04,7.35,False,243,40,13.59,1.1344,High,No,Moderate,1,1 - Addicted label,7.390000000000001,False,20.369999999999997,False
TXN00076,U00076,28,28-35,Female,10.17,10h+,2.11,1.5,1.3,6.89,True,164,61,11.09,1.0905,Low,No,Moderate,1,1 - Addicted label,4.91,False,18.36,False
TXN00077,U00077,22,18-22,Female,5.09,Up to 6h,4.01,1.84,4.17,8.55,False,139,88,7.28,1.4303,Low,Yes,Severe,1,1 - Addicted label,10.02,True,17.810000000000002,False
TXN00078,U00078,27,23-27,Other,8.75,8-10h,2.83,1.0,5.15,5.4,True,118,138,9.52,1.088,Medium,No,Severe,1,1 - Addicted label,8.98,True,19.3,False
TXN00079,U00079,27,23-27,Male,3.2,Up to 6h,5.07,1.58,0.54,8.39,False,219,27,5.98,1.8688,High,No,Severe,1,1 - Addicted label,7.19,True,12.129999999999999,False
TXN00080,U00080,29,28-35,Female,4.97,Up to 6h,1.55,1.0,4.66,7.95,False,194,50,7.04,1.4165,High,Yes,Mild,0,0 - Not addicted label,7.21,True,17.58,False
TXN00081,U00081,19,18-22,Male,8.22,8-10h,4.53,0.36,2.12,7.86,False,64,66,9.05,1.101,High,No,Severe,1,1 - Addicted label,7.010000000000001,False,18.200000000000003,False
TXN00082,U00082,26,23-27,Other,11.23,10h+,5.69,3.87,2.12,8.42,False,225,44,12.9,1.1487,Low,Yes,Moderate,1,1 - Addicted label,11.68,True,21.77,False
TXN00083,U00083,30,28-35,Other,11.71,10h+,4.93,1.46,4.85,4.56,True,157,46,13.35,1.1401,High,No,Severe,1,1 - Addicted label,11.239999999999998,False,21.119999999999997,False
TXN00084,U00084,29,28-35,Other,3.98,Up to 6h,1.79,0.1,5.36,7.03,False,176,71,6.1,1.5327,High,No,Mild,0,0 - Not addicted label,7.25,True,16.37,False
TXN00085,U00085,31,28-35,Other,4.05,Up to 6h,0.75,0.15,5.98,5.02,True,80,152,4.89,1.2074,Medium,No,Mild,0,0 - Not addicted label,6.880000000000001,True,15.05,False
TXN00086,U00086,22,18-22,Male,10.97,10h+,4.1,3.33,3.89,8.73,False,91,23,13.2,1.2033,Low,No,Severe,1,1 - Addicted label,11.32,True,23.590000000000003,False
TXN00087,U00087,29,28-35,Other,3.89,Up to 6h,4.27,2.18,5.88,6.11,True,121,85,4.86,1.2494,Low,No,Moderate,1,1 - Addicted label,12.329999999999998,True,15.879999999999999,False
TXN00088,U00088,24,23-27,Male,8.78,8-10h,3.78,0.09,4.83,5.6,True,52,159,9.79,1.115,High,Yes,Moderate,1,1 - Addicted label,8.7,False,19.21,False
TXN00089,U00089,28,28-35,Male,9.97,8-10h,4.84,2.38,2.03,8.93,False,53,153,11.1,1.1133,Low,Yes,Moderate,1,1 - Addicted label,9.25,False,20.93,False
TXN00090,U00090,18,18-22,Female,6.22,6-8h,4.84,2.36,0.59,5.69,True,52,122,8.04,1.2926,High,Yes,Severe,1,1 - Addicted label,7.789999999999999,True,12.5,False
TXN00091,U00091,29,28-35,Female,7.62,6-8h,1.1,2.02,5.7,4.7,True,220,148,8.87,1.164,High,Yes,Mild,0,0 - Not addicted label,8.82,True,18.02,False
TXN00092,U00092,30,28-35,Female,6.84,6-8h,1.09,2.85,2.94,8.55,False,102,170,7.71,1.1272,Low,No,Moderate,1,1 - Addicted label,6.880000000000001,True,18.330000000000002,False
TXN00093,U00093,34,28-35,Male,5.65,Up to 6h,3.28,1.72,4.86,5.01,True,187,156,7.95,1.4071,Low,No,Mild,0,0 - Not addicted label,9.86,True,15.52,False
TXN00094,U00094,31,28-35,Male,6.05,6-8h,2.99,1.66,1.02,6.42,True,190,80,7.49,1.238,Low,No,Mild,0,0 - Not addicted label,5.67,False,13.489999999999998,False
TXN00095,U00095,20,18-22,Female,3.84,Up to 6h,1.03,2.96,4.96,7.0,False,170,158,5.74,1.4948,High,Yes,Mild,0,0 - Not addicted label,8.95,True,15.8,False
TXN00096,U00096,31,28-35,Male,10.81,10h+,4.47,3.87,3.8,6.08,True,167,144,11.84,1.0953,High,No,Moderate,1,1 - Addicted label,12.14,True,20.69,False
TXN00097,U00097,29,28-35,Male,10.61,10h+,2.52,3.05,3.66,8.13,False,236,158,13.55,1.2771,High,Yes,Severe,1,1 - Addicted label,9.23,False,22.400000000000002,False
TXN00098,U00098,23,23-27,Male,5.46,Up to 6h,4.69,3.69,2.43,5.32,True,56,159,7.6,1.3919,Low,Yes,Moderate,1,1 - Addicted label,10.81,True,13.21,False
TXN00099,U00099,34,28-35,Other,4.94,Up to 6h,2.81,1.36,2.54,7.75,False,218,160,6.93,1.4028,Low,Yes,None,0,0 - Not addicted label,6.71,True,15.23,False
TXN00100,U00100,19,18-22,Male,9.07,8-10h,2.0,2.65,3.17,6.49,True,89,70,11.46,1.2635,Low,No,Severe,1,1 - Addicted label,7.82,False,18.73,False
TXN00101,U00101,27,23-27,Female,9.1,8-10h,3.76,2.11,2.2,5.49,True,173,29,9.62,1.0571,Medium,Yes,Moderate,1,1 - Addicted label,8.07,False,16.79,False
TXN00102,U00102,27,23-27,Female,5.95,Up to 6h,0.54,2.99,1.47,6.21,True,200,73,7.7,1.2941,High,No,None,0,0 - Not addicted label,5.0,False,13.63,False
TXN00103,U00103,19,18-22,Female,6.93,6-8h,3.03,0.31,2.22,6.43,True,123,178,8.47,1.2222,Low,No,Mild,0,0 - Not addicted label,5.5600000000000005,False,15.58,False
TXN00104,U00104,23,23-27,Female,10.21,10h+,3.9,3.33,5.56,4.9,True,236,42,11.32,1.1087,High,No,Moderate,1,1 - Addicted label,12.79,True,20.67,False
TXN00105,U00105,27,23-27,Male,9.71,8-10h,1.72,3.12,0.92,7.35,False,155,145,10.69,1.1009,Medium,No,Moderate,1,1 - Addicted label,5.76,False,17.980000000000004,False
TXN00106,U00106,21,18-22,Other,4.32,Up to 6h,1.58,2.41,4.68,7.45,False,65,175,6.06,1.4028,High,No,Mild,0,0 - Not addicted label,8.67,True,16.45,False
TXN00107,U00107,28,28-35,Male,4.36,Up to 6h,0.88,1.77,2.17,5.74,True,34,105,6.13,1.406,Medium,No,Mild,0,0 - Not addicted label,4.82,True,12.270000000000001,False
TXN00108,U00108,19,18-22,Other,6.32,6-8h,2.08,2.58,5.88,4.91,True,172,144,7.78,1.231,High,Yes,Moderate,1,1 - Addicted label,10.54,True,17.11,False
TXN00109,U00109,24,23-27,Male,5.89,Up to 6h,3.12,0.6,0.84,4.97,True,250,102,8.85,1.5025,Low,Yes,None,0,0 - Not addicted label,4.5600000000000005,False,11.7,False
TXN00110,U00110,32,28-35,Male,11.92,10h+,3.38,2.44,2.5,8.63,False,119,119,14.36,1.2047,High,Yes,Severe,1,1 - Addicted label,8.32,False,23.05,False
TXN00111,U00111,28,28-35,Female,3.85,Up to 6h,4.23,1.14,4.48,7.45,False,174,53,5.18,1.3455,High,Yes,Severe,1,1 - Addicted label,9.850000000000001,True,15.780000000000001,False
TXN00112,U00112,30,28-35,Other,4.16,Up to 6h,4.4,0.34,3.57,7.4,False,104,47,6.34,1.524,High,Yes,Severe,1,1 - Addicted label,8.31,True,15.13,False
TXN00113,U00113,29,28-35,Male,3.16,Up to 6h,2.2,3.8,2.38,7.95,False,69,72,6.16,1.9494,Low,Yes,Mild,0,0 - Not addicted label,8.379999999999999,True,13.489999999999998,False
TXN00114,U00114,34,28-35,Male,9.94,8-10h,5.09,3.53,0.71,6.02,True,216,173,10.77,1.0835,Medium,Yes,Moderate,1,1 - Addicted label,9.329999999999998,False,16.669999999999998,False
TXN00115,U00115,23,23-27,Female,9.49,8-10h,0.74,1.46,4.46,8.86,False,176,87,11.87,1.2508,Medium,Yes,Moderate,1,1 - Addicted label,6.66,False,22.810000000000002,False
TXN00116,U00116,33,28-35,Male,11.14,10h+,1.57,2.71,3.64,6.48,True,216,87,13.59,1.2199,High,No,Moderate,1,1 - Addicted label,7.92,False,21.26,False
TXN00117,U00117,22,18-22,Female,10.86,10h+,0.79,1.92,2.54,8.7,False,202,147,13.49,1.2422,Medium,Yes,Moderate,1,1 - Addicted label,5.25,False,22.099999999999998,False
TXN00118,U00118,32,28-35,Other,11.15,10h+,1.31,1.75,5.71,5.5,True,135,104,13.98,1.2538,Medium,Yes,Severe,1,1 - Addicted label,8.77,False,22.36,False
TXN00119,U00119,29,28-35,Female,5.12,Up to 6h,5.97,1.5,0.66,8.69,False,234,100,7.6,1.4844,Low,Yes,Severe,1,1 - Addicted label,8.129999999999999,True,14.469999999999999,False
TXN00120,U00120,22,18-22,Female,9.83,8-10h,3.08,2.46,5.48,4.59,True,75,53,11.7,1.1902,High,No,Moderate,1,1 - Addicted label,11.02,True,19.9,False
TXN00121,U00121,25,23-27,Female,5.71,Up to 6h,0.76,1.68,4.87,6.56,True,48,142,7.7,1.3485,Low,Yes,None,0,0 - Not addicted label,7.3100000000000005,True,17.14,False
TXN00122,U00122,31,28-35,Female,3.01,Up to 6h,2.44,2.28,1.53,7.51,False,154,107,3.68,1.2226,High,Yes,Mild,0,0 - Not addicted label,6.25,True,12.049999999999999,False
TXN00123,U00123,19,18-22,Male,8.72,8-10h,5.9,1.01,0.59,8.05,False,108,76,11.05,1.2672,High,Yes,Severe,1,1 - Addicted label,7.5,False,17.360000000000003,False
TXN00124,U00124,19,18-22,Male,6.17,6-8h,2.36,2.57,5.07,7.58,False,198,137,8.25,1.3371,Low,Yes,Moderate,1,1 - Addicted label,10.0,True,18.82,False
TXN00125,U00125,27,23-27,Female,4.81,Up to 6h,4.85,3.54,2.24,5.9,True,121,154,6.49,1.3493,Low,Yes,Severe,1,1 - Addicted label,10.63,True,12.950000000000001,False
TXN00126,U00126,19,18-22,Female,10.79,10h+,2.33,0.5,2.52,8.5,False,210,127,13.53,1.2539,Medium,No,Moderate,1,1 - Addicted label,5.35,False,21.81,False
TXN00127,U00127,33,28-35,Male,6.31,6-8h,4.89,1.07,0.95,6.41,True,130,169,9.3,1.4739,Low,No,Severe,1,1 - Addicted label,6.91,True,13.669999999999998,False
TXN00128,U00128,20,18-22,Female,5.95,Up to 6h,2.13,1.78,4.45,5.25,True,133,104,7.57,1.2723,High,No,Mild,0,0 - Not addicted label,8.36,True,15.649999999999999,False
TXN00129,U00129,19,18-22,Male,3.68,Up to 6h,4.01,1.45,4.91,7.56,False,27,51,6.3,1.712,High,No,Moderate,1,1 - Addicted label,10.370000000000001,True,16.15,False
TXN00130,U00130,20,18-22,Other,5.12,Up to 6h,4.05,1.45,5.72,4.65,True,59,130,7.99,1.5605,Medium,No,Moderate,1,1 - Addicted label,11.219999999999999,True,15.489999999999998,False
TXN00131,U00131,22,18-22,Female,7.77,6-8h,2.69,2.6,1.87,5.01,True,208,62,9.52,1.2252,Medium,Yes,Moderate,1,1 - Addicted label,7.16,False,14.649999999999999,False
TXN00132,U00132,32,28-35,Other,4.93,Up to 6h,3.87,2.78,5.99,5.4,True,54,33,6.56,1.3306,High,No,None,0,0 - Not addicted label,12.64,True,16.32,False
TXN00133,U00133,28,28-35,Male,9.01,8-10h,4.4,2.2,2.1,5.85,True,60,178,9.95,1.1043,Medium,Yes,Moderate,1,1 - Addicted label,8.700000000000001,False,16.96,False
TXN00134,U00134,22,18-22,Female,5.13,Up to 6h,3.22,1.44,3.65,6.6,True,161,48,7.16,1.3957,Low,Yes,Mild,0,0 - Not addicted label,8.31,True,15.38,False
TXN00135,U00135,33,28-35,Other,7.73,6-8h,4.73,3.29,0.91,8.88,False,184,33,9.35,1.2096,High,No,Moderate,1,1 - Addicted label,8.93,True,17.52,False
TXN00136,U00136,23,23-27,Female,9.91,8-10h,1.21,2.01,5.28,8.24,False,152,54,11.17,1.1271,Low,No,Moderate,1,1 - Addicted label,8.5,False,23.43,False
TXN00137,U00137,34,28-35,Other,11.05,10h+,5.15,1.0,3.99,6.98,True,52,175,12.31,1.114,High,Yes,Moderate,1,1 - Addicted label,10.14,False,22.020000000000003,False
TXN00138,U00138,22,18-22,Other,4.54,Up to 6h,3.93,3.61,2.36,8.66,False,30,22,5.24,1.1542,High,No,None,0,0 - Not addicted label,9.9,True,15.559999999999999,False
TXN00139,U00139,31,28-35,Female,8.56,8-10h,0.67,3.56,3.5,7.39,False,97,138,9.67,1.1297,High,No,Severe,1,1 - Addicted label,7.73,False,19.45,False
TXN00140,U00140,20,18-22,Male,9.2,8-10h,1.37,1.66,3.05,6.03,True,56,95,11.85,1.288,Medium,No,Severe,1,1 - Addicted label,6.08,False,18.28,False
TXN00141,U00141,29,28-35,Male,7.63,6-8h,1.08,0.97,1.17,6.52,True,56,39,8.26,1.0826,Medium,No,Mild,0,0 - Not addicted label,3.2199999999999998,False,15.319999999999999,False
TXN00142,U00142,28,28-35,Female,11.4,10h+,4.47,0.76,1.38,8.98,False,139,142,14.1,1.2368,Medium,Yes,Moderate,1,1 - Addicted label,6.609999999999999,False,21.76,False
